SensorID;8.4._06:00;8.4._07:00;8.4._08:00;8.4._09:00;8.4._10:00;8.4._11:00;8.4._12:00;8.4._13:00;8.4._14:00;8.4._15:00;8.4._16:00;8.4._17:00;8.4._18:00;8.4._19:00;8.4._20:00
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.013;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.014;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.015;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.016;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.017;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.018;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.019;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.020;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.021;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.022;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.023;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.024;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.025;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.026;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.027;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.028;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.029;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.030;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.031;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.032;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.033;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.034;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.035;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.036;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.037;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.038;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.039;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.040;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.041;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.042;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.043;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.044;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.045;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.046;-2;-1;-1;21.2;-1;-1;-1;-1;0;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.047;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.048;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.049;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.050;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.051;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.052;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.053;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.054;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.055;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.056;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.057;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.058;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.059;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.060;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.061;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.062;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.063;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.064;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.065;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.066;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.067;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.068;-2;-1;-1;20.9;-1;-1;-1;-1;-1;0;0;0;0;0;0
IfcBuildingElementProxy/UNHP_FAS_PAN_XXX_TB_A_U_FX_Rainscre.069;-2;-1;-1;21.5;-1;-1;-1;-1;-1;0;0;0;0;0;0
